Store,Country,Region,Order_Date,Item,Salesperson,List Price,Actual Price,Discount %
Prague,Czech Republic,EMEA,24-06-2015,Ceiling fan,Christopher Lloyd,150,147,2.00%
London,UK,EMEA,13-12-2018,Refrigerator,James Neville,1000,730,27.00%
Bangkok,Thailand,APAC,05-07-2016,Vacuum Cleaner,Mary Mitchell,250,248,0.80%
Dublin,Ireland,EMEA,11-12-2018,Air conditioner,Alison Younger,700,609,13.00%
Istanbul,Turkey,EMEA,25-11-2016,Ceiling fan,Chloe Lyons,150,140,6.67%
Bangalore,India,APAC,20-02-2014,Oven,Francis Walsh,500,500,0.00%
Cairo,Egypt,EMEA,03-09-2018,Refrigerator,John Barnett,1000,960,4.00%
Mexico City,Mexico,LATAM,10-07-2014,Microwave,Denise Rodgers,80,73,8.75%
Bangkok,Thailand,APAC,10-09-2016,Air conditioner,Nicole Marshall,700,700,0.00%
Berlin,Germany,EMEA,27-02-2017,Air conditioner,Jacqueline Clamp,700,672,4.00%
Kuala Lumpur,Malaysia,APAC,22-05-2017,Air conditioner,Trudi Griffin,700,651,7.00%
Tijuana,Mexico,LATAM,14-09-2014,Ceiling fan,Timothy Younger,150,137,8.67%
Bogota,Columbia,LATAM,13-06-2018,Air conditioner,Philip Mishra,700,651,7.00%
Shenzhen,China,APAC,04-04-2018,Vacuum Cleaner,Gary Shaw,250,238,4.80%
Sao Paolo,Brazil,LATAM,15-09-2014,Washing Machine,Gary Reynolds,800,696,13.00%
Tijuana,Mexico,LATAM,12-06-2014,Iron,Kevin McLauchlin,30,21,30.00%
Berlin,Germany,EMEA,26-11-2017,Microwave,Jacqueline Clamp,80,74,7.50%
Sao Paolo,Brazil,LATAM,05-04-2017,Vacuum Cleaner,Stephen Smith,250,228,8.80%
Amsterdam,Netherlands,EMEA,16-07-2016,Air conditioner,Christopher Hurren,700,644,8.00%
Ho Chi Minh City,Vietnam,APAC,27-01-2014,Iron,Irene Skiba,30,29,3.33%
Delhi,India,APAC,06-07-2014,Washing Machine,Francis Hughes,800,656,18.00%
Rome,Italy,EMEA,07-10-2017,Ceiling fan,Elaine Whitfield,150,149,0.67%
San Fransisco,USA,NA,10-07-2018,Ceiling fan,Patricia Sewell,150,147,2.00%
Jerusalem,Israel,EMEA,10-12-2015,Microwave,Susan Carley,80,78,2.50%
Bucharest,Romania,EMEA,29-08-2015,Ceiling fan,Jacqueline Todd,150,147,2.00%
Ho Chi Minh City,Vietnam,APAC,04-07-2015,Dishwasher,Susan Passey,500,360,28.00%
Tokyo,Japan,APAC,26-08-2018,Blender,Michelle Hunter,50,45,10.00%
Delhi,India,APAC,21-03-2018,Blender,Roy Johnson,50,43,14.00%
Bogota,Columbia,LATAM,21-11-2014,Microwave,Margaret Buck,80,75,6.25%
Dublin,Ireland,EMEA,03-08-2015,Blender,Gwyn Taylor,50,36,28.00%
Buenos Aires,Argentina,LATAM,27-04-2016,Washing Machine,Ronald Rowlands,800,448,44.00%
Madria,Spain,EMEA,04-01-2017,Ceiling fan,Roy Lloyd,150,138,8.00%
Kansas City,USA,NA,20-05-2017,Oven,Kirsty Amos,500,500,0.00%
Istanbul,Turkey,EMEA,22-01-2015,Oven,Cordia Alston,500,495,1.00%
Amsterdam,Netherlands,EMEA,03-02-2014,Ceiling fan,Christopher Hurren,150,128,14.67%
Delhi,India,APAC,27-06-2014,Blender,Steven Batty,50,42,16.00%
Dubai,UAE,EMEA,01-03-2014,Microwave,Rachel Clayton,80,80,0.00%
Seoul,South Korea,APAC,21-04-2018,Ceiling fan,Rosalind Chandler,150,147,2.00%
Riyadh,Saudi Arabia,EMEA,22-02-2014,Toaster,Kelly Owen,50,44,12.00%
Tijuana,Mexico,LATAM,13-05-2018,Coffee grinder,Emily Brierley,70,67,4.29%
Seattle,USA,NA,23-04-2018,Coffee grinder,Alan Davie,70,67,4.29%
Tokyo,Japan,APAC,28-10-2016,Dishwasher,Kenneth Bullion,500,460,8.00%
Moscow,Russia,EMEA,19-09-2015,Oven,May Wilmot,500,495,1.00%
Prague,Czech Republic,EMEA,06-08-2016,Washing Machine,Edward Khan,800,704,12.00%
Athens,Greece,EMEA,09-04-2014,Microwave,Mark Lawton,80,60,25.00%
Kuala Lumpur,Malaysia,APAC,07-08-2018,Oven,Trudi Griffin,500,500,0.00%
Los Angeles,USA,NA,22-01-2016,Ceiling fan,Chandrakant Atkins,150,150,0.00%
Seoul,South Korea,APAC,10-12-2015,Coffee grinder,Mark Towey,70,68,2.86%
Dubai,UAE,EMEA,23-10-2015,Coffee grinder,Ernie Dyer,70,70,0.00%
Kuala Lumpur,Malaysia,APAC,06-11-2018,Iron,Stephen MacGregor,30,28,6.67%
Kuala Lumpur,Malaysia,APAC,03-06-2017,Coffee grinder,Harold Lunn,70,64,8.57%
Sao Paolo,Brazil,LATAM,24-08-2015,Blender,Gary Reynolds,50,38,24.00%
Toronto,Canada,NA,20-12-2017,Blender,Alison Storey,50,50,0.00%
Bangalore,India,APAC,21-02-2015,Dishwasher,Paul Rule,500,465,7.00%
New York,USA,NA,14-11-2014,Toaster,Richard Nash,50,44,12.00%
Bogota,Columbia,LATAM,28-02-2014,Toaster,Paul Puri,50,47,6.00%
Warsaw,Poland,EMEA,28-01-2015,Ceiling fan,Alexandra Wright,150,101,32.67%
Paris,France,EMEA,07-11-2014,Microwave,Ryan Goad,80,78,2.50%
Bangalore,India,APAC,21-02-2015,Oven,Stuart Hunter,500,500,0.00%
Tijuana,Mexico,LATAM,28-02-2015,Microwave,Paul Salmon,80,74,7.50%
Prague,Czech Republic,EMEA,27-11-2017,Coffee grinder,Terence Mirza,70,68,2.86%
Cairo,Egypt,EMEA,11-02-2014,Dishwasher,Marek Kwiatkowski,500,500,0.00%
Mexico City,Mexico,LATAM,04-04-2018,Refrigerator,Catherine Rahman,1000,720,28.00%
Toronto,Canada,NA,24-02-2017,Dishwasher,Richard Oliver,500,480,4.00%
Los Angeles,USA,NA,16-02-2014,Toaster,Ellen Lillie,50,43,14.00%
London,UK,EMEA,26-06-2018,Ceiling fan,Damilola Raymond,150,150,0.00%
Moscow,Russia,EMEA,17-01-2014,Washing Machine,Zulfiqar Mirza,800,528,34.00%
Dublin,Ireland,EMEA,06-03-2015,Toaster,Emma Gibbons,50,39,22.00%
Athens,Greece,EMEA,22-10-2017,Blender,David Walker,50,50,0.00%
Bangalore,India,APAC,23-04-2016,Oven,Colin Lima,500,500,0.00%
Prague,Czech Republic,EMEA,01-11-2018,Toaster,Christopher Martin,50,44,12.00%
Mexico City,Mexico,LATAM,29-10-2017,Blender,Brendon Dyer,50,48,4.00%
Tokyo,Japan,APAC,28-02-2017,Microwave,Steven Douglas,80,72,10.00%
Bogota,Columbia,LATAM,02-09-2015,Blender,Ronald Curtis,50,32,36.00%
Shanghai,China,APAC,18-07-2017,Air conditioner,Alen Dinan,700,651,7.00%
Berlin,Germany,EMEA,03-05-2017,Blender,James Whitehead,50,49,2.00%
Capetown,South Africa,EMEA,07-12-2018,Dishwasher,Marcus Jacob,500,440,12.00%
Dublin,Ireland,EMEA,26-06-2018,Refrigerator,Andrew Phillips,1000,680,32.00%
Sydney,Australia,APAC,06-10-2015,Air conditioner,James White,700,637,9.00%
Birmingham,UK,EMEA,25-05-2014,Toaster,Gustavo Taiwo,50,43,14.00%
Delhi,India,APAC,25-06-2016,Iron,Tessa Morrow,30,29,3.33%
Riyadh,Saudi Arabia,EMEA,04-09-2017,Toaster,Victoria Sherwin,50,47,6.00%
Bogota,Columbia,LATAM,04-08-2015,Ceiling fan,David Finnie,150,144,4.00%
Amsterdam,Netherlands,EMEA,23-08-2015,Vacuum Cleaner,Danny Grant,250,193,22.80%
Ho Chi Minh City,Vietnam,APAC,10-01-2016,Washing Machine,Michael Rodgers,800,800,0.00%
Santiago,Chile,LATAM,28-11-2015,Air conditioner,Karen Hopewell,700,441,37.00%
Rome,Italy,EMEA,19-07-2016,Coffee grinder,Steven Bell,70,60,14.29%
Shenzhen,China,APAC,12-08-2017,Dishwasher,Roger Rust,500,495,1.00%
Dublin,Ireland,EMEA,02-08-2017,Iron,Alison Younger,30,29,3.33%
Prague,Czech Republic,EMEA,28-09-2018,Iron,Rachel Blane,30,29,3.33%
Rome,Italy,EMEA,20-04-2017,Oven,Golam Reid,500,500,0.00%
Amsterdam,Netherlands,EMEA,14-01-2014,Refrigerator,Christopher Hurren,1000,510,49.00%
Mexico City,Mexico,LATAM,11-05-2015,Washing Machine,James Anthony,800,488,39.00%
Toronto,Canada,NA,15-12-2016,Toaster,Nick Blacklock,50,49,2.00%
Vienna,Austria,EMEA,07-06-2017,Microwave,Daniel Henderson,80,78,2.50%
Madria,Spain,EMEA,13-08-2018,Blender,Martin Mishra,50,48,4.00%
Riyadh,Saudi Arabia,EMEA,31-03-2018,Blender,Heather Murray,50,50,0.00%
Bangkok,Thailand,APAC,24-10-2018,Vacuum Cleaner,Alan Procter,250,250,0.00%
Athens,Greece,EMEA,07-07-2016,Coffee grinder,Gary Roberts,70,67,4.29%
Sydney,Australia,APAC,08-06-2018,Air conditioner,Christine Davies,700,693,1.00%
Shenzhen,China,APAC,28-07-2017,Iron,Ronald Butler,30,27,10.00%
Amsterdam,Netherlands,EMEA,19-03-2016,Toaster,Julia Ferguson,50,49,2.00%
Istanbul,Turkey,EMEA,03-06-2015,Washing Machine,Chloe Lyons,800,664,17.00%
Dublin,Ireland,EMEA,26-04-2016,Washing Machine,Robert Harris,800,648,19.00%
Kansas City,USA,NA,25-10-2018,Iron,David Rodrigues,30,29,3.33%
London,UK,EMEA,26-11-2017,Dishwasher,Claire Brooks,500,475,5.00%
Dublin,Ireland,EMEA,24-02-2015,Oven,Penelope Norton,500,495,1.00%
Moscow,Russia,EMEA,25-12-2014,Refrigerator,Dermot Bailey,1000,580,42.00%
Vienna,Austria,EMEA,14-11-2017,Blender,Raymond Denning,50,47,6.00%
Cairo,Egypt,EMEA,05-05-2015,Coffee grinder,Valerie Pereira,70,48,31.43%
Dublin,Ireland,EMEA,10-04-2015,Refrigerator,Emma Gibbons,1000,750,25.00%
Vienna,Austria,EMEA,31-05-2014,Iron,Paul Drage,30,25,16.67%
Tokyo,Japan,APAC,29-09-2018,Iron,Pauline Taylor,30,27,10.00%
Kuala Lumpur,Malaysia,APAC,16-12-2018,Oven,Valerie Hook,500,490,2.00%
Seattle,USA,NA,15-01-2015,Oven,Lesleyann Pope,500,500,0.00%
Berlin,Germany,EMEA,04-07-2014,Oven,James Whitehead,500,495,1.00%
Santiago,Chile,LATAM,21-05-2014,Ceiling fan,Bruce McPhee,150,119,20.67%
London,UK,EMEA,14-02-2014,Microwave,Ian Borowski,80,79,1.25%
Dubai,UAE,EMEA,05-11-2017,Ceiling fan,Marie Whitfield,150,99,34.00%
Seattle,USA,NA,14-02-2016,Dishwasher,Harold Green,500,425,15.00%
Madria,Spain,EMEA,18-03-2014,Refrigerator,Martin Mishra,1000,810,19.00%
Jerusalem,Israel,EMEA,03-06-2018,Vacuum Cleaner,David Hubble,250,245,2.00%
London,UK,EMEA,27-03-2017,Blender,William Cruse,50,50,0.00%
Rome,Italy,EMEA,24-06-2018,Vacuum Cleaner,Michael Toy,250,235,6.00%
Jerusalem,Israel,EMEA,23-11-2016,Vacuum Cleaner,Harold Charters,250,240,4.00%
Santiago,Chile,LATAM,22-07-2017,Coffee grinder,Jason Edmund,70,69,1.43%
Paris,France,EMEA,24-08-2017,Coffee grinder,Melanie Fletcher,70,67,4.29%
Cairo,Egypt,EMEA,24-02-2017,Toaster,Marek Kwiatkowski,50,49,2.00%
Athens,Greece,EMEA,01-09-2015,Ceiling fan,David Walker,150,98,34.67%
Bangalore,India,APAC,22-09-2018,Toaster,Delia Muhammad,50,50,0.00%
Mexico City,Mexico,LATAM,14-03-2015,Oven,Catherine Rahman,500,495,1.00%
Buenos Aires,Argentina,LATAM,20-12-2014,Coffee grinder,Ian Grant,70,54,22.86%
Los Angeles,USA,NA,30-09-2018,Dishwasher,Christopher Kitching,500,485,3.00%
Chicago,USA,NA,18-09-2014,Microwave,Barry Baldwin,80,78,2.50%
Tijuana,Mexico,LATAM,05-08-2018,Washing Machine,Paul Salmon,800,712,11.00%
Riyadh,Saudi Arabia,EMEA,08-11-2015,Ceiling fan,Jodie Fairhurst,150,93,38.00%
Shanghai,China,APAC,18-10-2018,Refrigerator,Michelle Murray,1000,710,29.00%
Shenzhen,China,APAC,09-08-2018,Oven,Joanne Ripley,500,495,1.00%
Tijuana,Mexico,LATAM,28-05-2017,Oven,Paul Salmon,500,490,2.00%
Seoul,South Korea,APAC,23-03-2014,Coffee grinder,Martin Birch,70,67,4.29%
Tokyo,Japan,APAC,01-10-2015,Vacuum Cleaner,Basil Bell,250,235,6.00%
Tijuana,Mexico,LATAM,09-10-2017,Washing Machine,Timothy Younger,800,584,27.00%
New York,USA,NA,05-06-2017,Microwave,Richard Nash,80,72,10.00%
Toronto,Canada,NA,02-02-2014,Refrigerator,Kyle Anderson,1000,750,25.00%
Chicago,USA,NA,04-10-2016,Washing Machine,Paul Collier,800,696,13.00%
Dubai,UAE,EMEA,21-04-2014,Ceiling fan,Roy Connelly,150,146,2.67%
Santiago,Chile,LATAM,11-10-2015,Blender,Julia Hammond,50,41,18.00%
Prague,Czech Republic,EMEA,22-06-2017,Oven,Christopher Lloyd,500,495,1.00%
Tel Aviv,Israel,EMEA,23-07-2017,Toaster,Maureen Reynolds,50,46,8.00%
Guangzhou,China,APAC,24-11-2015,Microwave,Donald Higgs,80,74,7.50%
Cairo,Egypt,EMEA,06-06-2014,Coffee grinder,Marek Kwiatkowski,70,59,15.71%
Riyadh,Saudi Arabia,EMEA,30-07-2017,Coffee grinder,Victoria Sherwin,70,68,2.86%
Berlin,Germany,EMEA,08-11-2017,Ceiling fan,David Power,150,146,2.67%
Moscow,Russia,EMEA,17-09-2014,Refrigerator,Rita Hill,1000,630,37.00%
Buenos Aires,Argentina,LATAM,18-10-2018,Toaster,Simon Snape,50,44,12.00%
Bangkok,Thailand,APAC,31-12-2014,Air conditioner,Martin Gee,700,693,1.00%
Dublin,Ireland,EMEA,21-07-2017,Air conditioner,Robert Harris,700,637,9.00%
Lima,Peru,LATAM,07-05-2016,Microwave,Claire Storey,80,68,15.00%
Ho Chi Minh City,Vietnam,APAC,16-03-2014,Iron,Michael Bell,30,26,13.33%
Chicago,USA,NA,27-09-2017,Vacuum Cleaner,Robert Polhill,250,240,4.00%
Bangalore,India,APAC,08-08-2018,Ceiling fan,Delia Muhammad,150,131,12.67%
Paris,France,EMEA,02-04-2017,Refrigerator,Ryan Goad,1000,820,18.00%
Santiago,Chile,LATAM,19-08-2018,Washing Machine,Karen Hopewell,800,528,34.00%
Bucharest,Romania,EMEA,13-07-2014,Coffee grinder,Geoffrey Shiner,70,69,1.43%
Bucharest,Romania,EMEA,08-06-2018,Dishwasher,Thomas Taylor,500,485,3.00%
Birmingham,UK,EMEA,19-04-2015,Blender,Stephen Muhammad,50,39,22.00%
Birmingham,UK,EMEA,26-04-2017,Refrigerator,Robert James,1000,830,17.00%
New York,USA,NA,14-09-2016,Toaster,Simon Hirst,50,44,12.00%
London,UK,EMEA,28-10-2014,Oven,Philip Dewar,500,500,0.00%
Toronto,Canada,NA,29-06-2015,Toaster,Michael Patel,50,37,26.00%
San Fransisco,USA,NA,18-03-2017,Microwave,John Osborne,80,78,2.50%
Kuala Lumpur,Malaysia,APAC,30-08-2018,Coffee grinder,Ian Baker,70,65,7.14%
Seattle,USA,NA,25-07-2014,Vacuum Cleaner,Richard Anderson,250,228,8.80%
Seoul,South Korea,APAC,09-12-2017,Vacuum Cleaner,James Gahagan,250,250,0.00%
Bucharest,Romania,EMEA,15-07-2017,Iron,Jacqueline Todd,30,29,3.33%
Bogota,Columbia,LATAM,03-02-2015,Blender,Lisa Manning,50,32,36.00%
Osaka,Japan,APAC,19-08-2018,Air conditioner,Alice Canning,700,686,2.00%
Santiago,Chile,LATAM,24-12-2016,Ceiling fan,Bruce McPhee,150,131,12.67%
Chicago,USA,NA,05-06-2016,Refrigerator,Ronald Bettley,1000,940,6.00%
Capetown,South Africa,EMEA,08-06-2016,Ceiling fan,Marcus Jacob,150,138,8.00%
Mexico City,Mexico,LATAM,19-05-2014,Blender,Jeremy Morrow,50,44,12.00%
Cairo,Egypt,EMEA,08-02-2016,Vacuum Cleaner,Valerie Pereira,250,218,12.80%
Seoul,South Korea,APAC,08-10-2016,Ceiling fan,Mark Brook,150,144,4.00%
Capetown,South Africa,EMEA,04-05-2018,Refrigerator,Stuart Anderson,1000,890,11.00%
Toronto,Canada,NA,15-07-2017,Ceiling fan,Jordan Andrews,150,150,0.00%
Chicago,USA,NA,11-05-2014,Vacuum Cleaner,Marie Foster,250,238,4.80%
Guangzhou,China,APAC,06-06-2016,Blender,Helen Watt,50,49,2.00%
Tijuana,Mexico,LATAM,26-07-2018,Air conditioner,Paul Skiba,700,630,10.00%
Berlin,Germany,EMEA,26-05-2018,Toaster,John Gunter,50,48,4.00%
Bucharest,Romania,EMEA,25-11-2015,Dishwasher,Kevin Ross,500,500,0.00%
Madria,Spain,EMEA,01-11-2017,Iron,Howard Jones,30,29,3.33%
New York,USA,NA,15-10-2018,Oven,Ian Coates,500,495,1.00%
Chicago,USA,NA,21-07-2016,Ceiling fan,Paul Collier,150,149,0.67%
Seattle,USA,NA,05-11-2015,Coffee grinder,Lesleyann Pope,70,54,22.86%
Bangkok,Thailand,APAC,02-01-2018,Oven,John Jenkins,500,490,2.00%
Santiago,Chile,LATAM,02-04-2015,Blender,Karen Hopewell,50,46,8.00%
Lima,Peru,LATAM,03-02-2017,Washing Machine,Janet Ford,800,600,25.00%
London,UK,EMEA,16-11-2017,Air conditioner,Francis Godden,700,665,5.00%
Madria,Spain,EMEA,19-01-2017,Dishwasher,Roy Nunes,500,480,4.00%
Ho Chi Minh City,Vietnam,APAC,29-04-2016,Washing Machine,Ken Rogerson,800,528,34.00%
Guangzhou,China,APAC,08-04-2018,Vacuum Cleaner,Wolfgang Carvalho,250,225,10.00%
San Fransisco,USA,NA,22-07-2015,Ceiling fan,Gary Acheampong,150,113,24.67%
Buenos Aires,Argentina,LATAM,06-02-2016,Dishwasher,Lisa Wood,500,440,12.00%
Osaka,Japan,APAC,04-02-2015,Coffee grinder,Peter Walker,70,44,37.14%
Warsaw,Poland,EMEA,16-10-2014,Vacuum Cleaner,Barbara McDevitt,250,73,70.80%
Guangzhou,China,APAC,17-07-2015,Toaster,Helen Watt,50,34,32.00%
Dubai,UAE,EMEA,27-11-2017,Microwave,Nicholas Timbrell,80,78,2.50%
Bangkok,Thailand,APAC,19-06-2017,Ceiling fan,Stephen Burch,150,149,0.67%
Seattle,USA,NA,21-09-2017,Vacuum Cleaner,Kevin Styles,250,250,0.00%
Capetown,South Africa,EMEA,06-04-2017,Air conditioner,Margaret Philp,700,665,5.00%
Bogota,Columbia,LATAM,29-01-2015,Ceiling fan,David Finnie,150,140,6.67%
Madria,Spain,EMEA,10-01-2017,Washing Machine,Martin Mishra,800,792,1.00%
Osaka,Japan,APAC,17-12-2017,Ceiling fan,Alice Canning,150,138,8.00%
Tel Aviv,Israel,EMEA,03-11-2015,Iron,Steven Green,30,23,23.33%
Tijuana,Mexico,LATAM,27-12-2016,Microwave,Paul Salmon,80,78,2.50%
Toronto,Canada,NA,21-04-2016,Toaster,Kyle Anderson,50,49,2.00%
Dublin,Ireland,EMEA,18-10-2017,Vacuum Cleaner,Robert Harris,250,235,6.00%
San Fransisco,USA,NA,01-07-2015,Oven,Shelley Lock,500,490,2.00%
Dubai,UAE,EMEA,02-08-2014,Air conditioner,Ernie Dyer,700,525,25.00%
Madria,Spain,EMEA,13-10-2015,Microwave,Howard Jones,80,74,7.50%
Delhi,India,APAC,09-08-2014,Washing Machine,David Johnson,800,696,13.00%
Bucharest,Romania,EMEA,15-02-2017,Blender,Constance Tidey,50,50,0.00%
Cairo,Egypt,EMEA,20-04-2017,Toaster,David Amos,50,50,0.00%
Berlin,Germany,EMEA,27-06-2016,Vacuum Cleaner,Jacqueline Clamp,250,225,10.00%
Prague,Czech Republic,EMEA,25-11-2014,Washing Machine,David Stewart,800,760,5.00%
Osaka,Japan,APAC,30-06-2016,Blender,Tracy Stanley,50,49,2.00%
Paris,France,EMEA,22-01-2017,Oven,Ryan Goad,500,495,1.00%
Guangzhou,China,APAC,24-09-2016,Vacuum Cleaner,Mark Searle,250,213,14.80%
Chicago,USA,NA,19-10-2016,Air conditioner,Richard Hughes,700,693,1.00%
Tel Aviv,Israel,EMEA,10-11-2016,Iron,Thomas Gordon,30,28,6.67%
Vienna,Austria,EMEA,10-05-2015,Air conditioner,Janet Ward,700,518,26.00%
Lima,Peru,LATAM,01-06-2018,Oven,William Lant,500,495,1.00%
Mexico City,Mexico,LATAM,14-05-2015,Iron,Brendon Dyer,30,21,30.00%
Kansas City,USA,NA,15-09-2017,Refrigerator,Robert Arnold,1000,700,30.00%
Kuala Lumpur,Malaysia,APAC,21-04-2015,Toaster,Rachel Oliver,50,32,36.00%
Athens,Greece,EMEA,07-10-2015,Washing Machine,Aidan Perrott,800,632,21.00%
New York,USA,NA,19-12-2018,Dishwasher,Matthew Crowe,500,450,10.00%
Sao Paolo,Brazil,LATAM,17-08-2016,Toaster,Elizabeth Holloway,50,49,2.00%
Buenos Aires,Argentina,LATAM,24-06-2015,Washing Machine,Roy Cooper,800,456,43.00%
Cairo,Egypt,EMEA,01-01-2015,Blender,Marek Kwiatkowski,50,31,38.00%
Seattle,USA,NA,29-12-2014,Microwave,Lesleyann Pope,80,69,13.75%
Amsterdam,Netherlands,EMEA,17-11-2016,Microwave,Donald Barratt,80,70,12.50%
Istanbul,Turkey,EMEA,17-01-2017,Vacuum Cleaner,Chloe Lyons,250,240,4.00%
Seattle,USA,NA,23-06-2016,Ceiling fan,Kevin Styles,150,132,12.00%
Capetown,South Africa,EMEA,05-10-2016,Iron,Nicholas Holloway,30,27,10.00%
Dublin,Ireland,EMEA,10-07-2015,Washing Machine,Emma Gibbons,800,624,22.00%
Los Angeles,USA,NA,19-07-2014,Coffee grinder,Anthony Procter,70,52,25.71%
Seoul,South Korea,APAC,22-11-2017,Microwave,Steven Wood,80,77,3.75%
Lima,Peru,LATAM,25-09-2017,Iron,Janet Ford,30,27,10.00%
Rome,Italy,EMEA,01-11-2017,Toaster,Golam Reid,50,47,6.00%
Dubai,UAE,EMEA,07-06-2017,Dishwasher,Marie Whitfield,500,265,47.00%
Kuala Lumpur,Malaysia,APAC,16-10-2016,Iron,Stephen MacGregor,30,28,6.67%
Tijuana,Mexico,LATAM,16-07-2014,Vacuum Cleaner,Richard Foy,250,240,4.00%
Buenos Aires,Argentina,LATAM,11-12-2018,Toaster,Ian Grant,50,45,10.00%
Tijuana,Mexico,LATAM,01-09-2015,Oven,Richard Foy,500,490,2.00%
Los Angeles,USA,NA,31-05-2017,Iron,Paul Hirst,30,29,3.33%
Paris,France,EMEA,16-06-2017,Blender,Philip Tubbs,50,49,2.00%
Moscow,Russia,EMEA,13-07-2014,Air conditioner,Alexander Hillier,700,665,5.00%
Bucharest,Romania,EMEA,13-08-2014,Washing Machine,Alan Grant,800,720,10.00%
Madria,Spain,EMEA,31-03-2016,Oven,Penelope Freeland,500,500,0.00%
Seattle,USA,NA,26-08-2018,Washing Machine,Susan Toye,800,680,15.00%
Bangalore,India,APAC,03-07-2015,Washing Machine,Delia Muhammad,800,480,40.00%
Riyadh,Saudi Arabia,EMEA,04-08-2014,Air conditioner,Daniel Battersby,700,602,14.00%
Rome,Italy,EMEA,13-01-2018,Vacuum Cleaner,Andrew Hirst,250,220,12.00%
Guangzhou,China,APAC,23-12-2015,Oven,Abdul Amos,500,495,1.00%
Tokyo,Japan,APAC,02-11-2016,Microwave,Rose Rowntree,80,71,11.25%
Seoul,South Korea,APAC,26-03-2018,Refrigerator,Roger Scott,1000,530,47.00%
New York,USA,NA,11-08-2014,Coffee grinder,George Stevenson,70,65,7.14%
Buenos Aires,Argentina,LATAM,16-01-2017,Toaster,Kevin Curtis,50,49,2.00%
London,UK,EMEA,12-07-2017,Iron,Claire Brooks,30,30,0.00%
Capetown,South Africa,EMEA,06-08-2018,Microwave,Stuart Anderson,80,69,13.75%
Bangkok,Thailand,APAC,27-04-2017,Iron,Mayank Ali,30,29,3.33%
Seattle,USA,NA,20-09-2016,Blender,Kate Nash,50,43,14.00%
Dublin,Ireland,EMEA,09-07-2017,Ceiling fan,Penelope Norton,150,149,0.67%
Mexico City,Mexico,LATAM,01-04-2015,Air conditioner,Denise Rodgers,700,574,18.00%
Paris,France,EMEA,22-04-2014,Air conditioner,Christopher Griffith,700,581,17.00%
Lima,Peru,LATAM,03-09-2014,Toaster,Peter Jago,50,46,8.00%
Warsaw,Poland,EMEA,31-05-2014,Refrigerator,Barbara McDevitt,1000,610,39.00%
Mexico City,Mexico,LATAM,14-05-2017,Ceiling fan,Jacqueline Green,150,147,2.00%
Bogota,Columbia,LATAM,02-08-2016,Air conditioner,Margaret Buck,700,602,14.00%
Chicago,USA,NA,13-11-2015,Dishwasher,Jeremy Bannister,500,495,1.00%
San Fransisco,USA,NA,19-04-2017,Air conditioner,Richard Dewar,700,665,5.00%
Amsterdam,Netherlands,EMEA,14-08-2017,Dishwasher,Donald Barratt,500,485,3.00%
Moscow,Russia,EMEA,12-04-2018,Microwave,Zulfiqar Mirza,80,79,1.25%
Tel Aviv,Israel,EMEA,22-11-2018,Refrigerator,John Verma,1000,540,46.00%
Tel Aviv,Israel,EMEA,10-12-2015,Microwave,Maureen Reynolds,80,70,12.50%
Seoul,South Korea,APAC,02-10-2018,Blender,Martin Birch,50,49,2.00%
Madria,Spain,EMEA,01-11-2015,Microwave,Philip Sutherland,80,62,22.50%
Shenzhen,China,APAC,13-01-2017,Ceiling fan,Joanne Ripley,150,143,4.67%
Cairo,Egypt,EMEA,18-04-2018,Iron,John Barnett,30,26,13.33%
Santiago,Chile,LATAM,23-07-2017,Vacuum Cleaner,Jason Edmund,250,248,0.80%
Amsterdam,Netherlands,EMEA,15-08-2018,Toaster,Allyson Rush,50,44,12.00%
Athens,Greece,EMEA,22-08-2015,Vacuum Cleaner,Olivia Reynolds,250,173,30.80%
Bangkok,Thailand,APAC,30-04-2016,Refrigerator,Olive Foster,1000,850,15.00%
Shanghai,China,APAC,15-05-2014,Toaster,Jonathan Will,50,40,20.00%
Dubai,UAE,EMEA,15-01-2016,Vacuum Cleaner,Rachel Clayton,250,218,12.80%
Tokyo,Japan,APAC,15-08-2016,Microwave,Nicholas Goude,80,79,1.25%
New York,USA,NA,26-04-2014,Blender,John Bull,50,40,20.00%
Osaka,Japan,APAC,04-12-2018,Blender,Jill Thompson,50,44,12.00%
Birmingham,UK,EMEA,20-10-2014,Air conditioner,Susan Reay,700,553,21.00%
Riyadh,Saudi Arabia,EMEA,07-07-2017,Coffee grinder,Heather Murray,70,66,5.71%
Birmingham,UK,EMEA,07-10-2017,Refrigerator,Robert Stocks,1000,920,8.00%
Lima,Peru,LATAM,05-09-2018,Toaster,Kevin Goad,50,50,0.00%
Ho Chi Minh City,Vietnam,APAC,28-08-2015,Coffee grinder,Terence Jones,70,53,24.29%
Los Angeles,USA,NA,04-04-2014,Refrigerator,Chandrakant Atkins,1000,780,22.00%
Seoul,South Korea,APAC,20-04-2015,Air conditioner,James Gahagan,700,686,2.00%
Seattle,USA,NA,22-10-2014,Ceiling fan,Kate Nash,150,108,28.00%
Cairo,Egypt,EMEA,16-06-2018,Refrigerator,David Amos,1000,880,12.00%
Seoul,South Korea,APAC,13-07-2014,Washing Machine,Roger Scott,800,560,30.00%
Seoul,South Korea,APAC,16-03-2016,Refrigerator,Suzanna Davies,1000,930,7.00%
